#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
0,Tue Sep 06 12:12:54 EDT 2022,2,2,A2GeneralStyle,SocialDistanceClassRegistryProvided+ , ,A2CommonPropertiesInherited+ A2CommonSignaturesAreInherited+ A2Encapsulation+ A2InterfaceAsType+ A2NoHiddenFields+ A2NoStarImports+ A2NonPublicAccessModifiersMatched+ A2PackageDeclarations+ A2PublicMethodsOverride+ BasicMainTest+ CompareSafetyComputationsTest+ DerivingMainTest+ F21A2DerivedSafetyVerifier+ F21A2IsInferredSafeTest+ F21A2NoCheckstyleWarnings+ InferringMainTest+ InterpolatingMainTest+ PrintGivenAndGeneratedCombinationsInferredSafety+ SafeSocializationTxtProvided+ SocialDistanceBasicMainProvided+ SocialDistanceDerivingMainProvided+ SocialDistanceInferringMainProvided+ SocialDistanceInterpolatingMainProvided+ SocialDistanceUtilityProvided+ ,BasicModelRegistersObserver ClassifierFactoryTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingModelRegistersObserver InferredPrintIsNotDirect InferringModelRegistersObserver InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest ,0,0,true,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride F21A2NoCheckstyleWarnings ,BasicMainTest CompareSafetyComputationsTest DerivingMainTest F21A2DerivedSafetyVerifier F21A2IsInferredSafeTest InferringMainTest InterpolatingMainTest PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride F21A2NoCheckstyleWarnings ,A2CommonPropertiesInherited-(0.0/5.0) A2CommonSignaturesAreInherited-(0.0/5.0) A2Encapsulation-(0.0/3.0) A2InterfaceAsType-(0.0/5.0) A2NoHiddenFields-(0.0/2.0) A2NoStarImports-(0.0/2.0) A2NonPublicAccessModifiersMatched-(0.0/5.0) A2PackageDeclarations-(0.0/2.0) A2PublicMethodsOverride-(0.0/5.0) F21A2NoCheckstyleWarnings-(0.0/10.0) , ,
0,Tue Sep 06 12:12:54 EDT 2022,2,2,A2GeneralStyle,SocialDistanceClassRegistryProvided+ , ,A2CommonPropertiesInherited+ A2CommonSignaturesAreInherited+ A2Encapsulation+ A2InterfaceAsType+ A2NoHiddenFields+ A2NoStarImports+ A2NonPublicAccessModifiersMatched+ A2PackageDeclarations+ A2PublicMethodsOverride+ BasicMainTest+ CompareSafetyComputationsTest+ DerivingMainTest+ F21A2DerivedSafetyVerifier+ F21A2IsInferredSafeTest+ F21A2NoCheckstyleWarnings+ InferringMainTest+ InterpolatingMainTest+ PrintGivenAndGeneratedCombinationsInferredSafety+ SafeSocializationTxtProvided+ SocialDistanceBasicMainProvided+ SocialDistanceDerivingMainProvided+ SocialDistanceInferringMainProvided+ SocialDistanceInterpolatingMainProvided+ SocialDistanceUtilityProvided+ ,BasicModelRegistersObserver ClassifierFactoryTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingModelRegistersObserver InferredPrintIsNotDirect InferringModelRegistersObserver InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest ,0,0,true,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride F21A2NoCheckstyleWarnings ,BasicMainTest CompareSafetyComputationsTest DerivingMainTest F21A2DerivedSafetyVerifier F21A2IsInferredSafeTest InferringMainTest InterpolatingMainTest PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride F21A2NoCheckstyleWarnings ,A2CommonPropertiesInherited-(0.0/5.0) A2CommonSignaturesAreInherited-(0.0/5.0) A2Encapsulation-(0.0/3.0) A2InterfaceAsType-(0.0/5.0) A2NoHiddenFields-(0.0/2.0) A2NoStarImports-(0.0/2.0) A2NonPublicAccessModifiersMatched-(0.0/5.0) A2PackageDeclarations-(0.0/2.0) A2PublicMethodsOverride-(0.0/5.0) F21A2NoCheckstyleWarnings-(0.0/10.0) , ,
1,Tue Sep 06 12:12:57 EDT 2022,2,0,A2RequiredClassesSuite,SocialDistanceClassRegistryProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest CompareSafetyComputationsTest DerivingMainTest F21A2DerivedSafetyVerifier F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferringMainTest InterpolatingMainTest PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided ,BasicModelRegistersObserver ClassifierFactoryTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingModelRegistersObserver InferredPrintIsNotDirect InferringModelRegistersObserver InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest ,0,1,true,SafeSocializationTxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided , , ,SafeSocializationTxtProvided-(0.0/1.0) SocialDistanceBasicMainProvided-(0.0/1.0) SocialDistanceClassRegistryProvided-(1.0/1.0) SocialDistanceDerivingMainProvided-(0.0/1.0) SocialDistanceInferringMainProvided-(0.0/1.0) SocialDistanceInterpolatingMainProvided-(0.0/1.0) SocialDistanceUtilityProvided-(0.0/1.0) , ,
1,Tue Sep 06 12:12:57 EDT 2022,2,0,A2RequiredClassesSuite,SocialDistanceClassRegistryProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest CompareSafetyComputationsTest DerivingMainTest F21A2DerivedSafetyVerifier F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferringMainTest InterpolatingMainTest PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided ,BasicModelRegistersObserver ClassifierFactoryTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingModelRegistersObserver InferredPrintIsNotDirect InferringModelRegistersObserver InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest ,0,1,true,SafeSocializationTxtProvided SocialDistanceBasicMainProvided SocialDistanceClassRegistryProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided , , ,SafeSocializationTxtProvided-(0.0/1.0) SocialDistanceBasicMainProvided-(0.0/1.0) SocialDistanceClassRegistryProvided-(1.0/1.0) SocialDistanceDerivingMainProvided-(0.0/1.0) SocialDistanceInferringMainProvided-(0.0/1.0) SocialDistanceInterpolatingMainProvided-(0.0/1.0) SocialDistanceUtilityProvided-(0.0/1.0) , ,
2,Tue Sep 06 12:13:03 EDT 2022,2,0,A2MainClassSuite,SocialDistanceClassRegistryProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest CompareSafetyComputationsTest DerivingMainTest F21A2DerivedSafetyVerifier F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferringMainTest InterpolatingMainTest PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided ,BasicModelRegistersObserver ClassifierFactoryTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingModelRegistersObserver InferredPrintIsNotDirect InferringModelRegistersObserver InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest ,0,2,true,BasicMainTest DerivingMainTest InferringMainTest InterpolatingMainTest , , ,BasicMainTest-(0.0/25.0) DerivingMainTest-(0.0/10.0) InferringMainTest-(0.0/10.0) InterpolatingMainTest-(0.0/10.0) , ,
2,Tue Sep 06 12:13:03 EDT 2022,2,0,A2MainClassSuite,SocialDistanceClassRegistryProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest CompareSafetyComputationsTest DerivingMainTest F21A2DerivedSafetyVerifier F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferringMainTest InterpolatingMainTest PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided ,BasicModelRegistersObserver ClassifierFactoryTest ControllerFactoryTest DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingModelRegistersObserver InferredPrintIsNotDirect InferringModelRegistersObserver InterpolatingModelRegistersObserver ModelFactoryTest ModelReuse SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener ViewFactoryTest WekaFileSizeTest ,0,2,true,BasicMainTest DerivingMainTest InferringMainTest InterpolatingMainTest , , ,BasicMainTest-(0.0/25.0) DerivingMainTest-(0.0/10.0) InferringMainTest-(0.0/10.0) InterpolatingMainTest-(0.0/10.0) , ,
3,Tue Sep 06 12:13:05 EDT 2022,2,0,FactoriesSuite,SocialDistanceClassRegistryProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest ClassifierFactoryTest+ CompareSafetyComputationsTest ControllerFactoryTest+ DerivingMainTest F21A2DerivedSafetyVerifier F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferringMainTest InterpolatingMainTest ModelFactoryTest+ PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided ViewFactoryTest+ ,BasicModelRegistersObserver DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingModelRegistersObserver InferredPrintIsNotDirect InferringModelRegistersObserver InterpolatingModelRegistersObserver ModelReuse SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener WekaFileSizeTest ,0,3,true,ClassifierFactoryTest ControllerFactoryTest ModelFactoryTest ViewFactoryTest , , ,ClassifierFactoryTest-(0.0/3.0) ControllerFactoryTest-(0.0/2.0) ModelFactoryTest-(0.0/3.0) ViewFactoryTest-(0.0/2.0) , ,
3,Tue Sep 06 12:13:05 EDT 2022,2,0,FactoriesSuite,SocialDistanceClassRegistryProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest ClassifierFactoryTest+ CompareSafetyComputationsTest ControllerFactoryTest+ DerivingMainTest F21A2DerivedSafetyVerifier F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferringMainTest InterpolatingMainTest ModelFactoryTest+ PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceBasicMainProvided SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceUtilityProvided ViewFactoryTest+ ,BasicModelRegistersObserver DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect DerivingModelRegistersObserver InferredPrintIsNotDirect InferringModelRegistersObserver InterpolatingModelRegistersObserver ModelReuse SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener WekaFileSizeTest ,0,3,true,ClassifierFactoryTest ControllerFactoryTest ModelFactoryTest ViewFactoryTest , , ,ClassifierFactoryTest-(0.0/3.0) ControllerFactoryTest-(0.0/2.0) ModelFactoryTest-(0.0/3.0) ViewFactoryTest-(0.0/2.0) , ,
4,Tue Sep 06 12:13:07 EDT 2022,2,0,A2SourceCode,SocialDistanceClassRegistryProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest BasicModelRegistersObserver+ ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivingMainTest DerivingModelRegistersObserver+ F21A2DerivedSafetyVerifier F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferringMainTest InferringModelRegistersObserver+ InterpolatingMainTest InterpolatingModelRegistersObserver+ ModelFactoryTest PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceBasicMainProvided SocialDistanceControllerFetchesModelSingleton+ SocialDistanceControllerWritesModel+ SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceMainCallsControllerMethod+ SocialDistanceMainFetchesViewSingleton+ SocialDistanceMainSetsModelSingleton+ SocialDistanceUtilityProvided SocialDistanceViewISAPropertyListener+ ViewFactoryTest ,DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect InferredPrintIsNotDirect ModelReuse WekaFileSizeTest ,0,4,true,BasicModelRegistersObserver DerivingModelRegistersObserver InferringModelRegistersObserver InterpolatingModelRegistersObserver SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener , , ,BasicModelRegistersObserver-(0.0/2.0) DerivingModelRegistersObserver-(0.0/2.0) InferringModelRegistersObserver-(0.0/2.0) InterpolatingModelRegistersObserver-(0.0/2.0) SocialDistanceControllerFetchesModelSingleton-(0.0/3.0) SocialDistanceControllerWritesModel-(0.0/2.0) SocialDistanceMainCallsControllerMethod-(0.0/3.0) SocialDistanceMainFetchesViewSingleton-(0.0/3.0) SocialDistanceMainSetsModelSingleton-(0.0/3.0) SocialDistanceViewISAPropertyListener-(0.0/2.0) , ,
4,Tue Sep 06 12:13:07 EDT 2022,2,0,A2SourceCode,SocialDistanceClassRegistryProvided , ,A2CommonPropertiesInherited A2CommonSignaturesAreInherited A2Encapsulation A2InterfaceAsType A2NoHiddenFields A2NoStarImports A2NonPublicAccessModifiersMatched A2PackageDeclarations A2PublicMethodsOverride BasicMainTest BasicModelRegistersObserver+ ClassifierFactoryTest CompareSafetyComputationsTest ControllerFactoryTest DerivingMainTest DerivingModelRegistersObserver+ F21A2DerivedSafetyVerifier F21A2IsInferredSafeTest F21A2NoCheckstyleWarnings InferringMainTest InferringModelRegistersObserver+ InterpolatingMainTest InterpolatingModelRegistersObserver+ ModelFactoryTest PrintGivenAndGeneratedCombinationsInferredSafety SafeSocializationTxtProvided SocialDistanceBasicMainProvided SocialDistanceControllerFetchesModelSingleton+ SocialDistanceControllerWritesModel+ SocialDistanceDerivingMainProvided SocialDistanceInferringMainProvided SocialDistanceInterpolatingMainProvided SocialDistanceMainCallsControllerMethod+ SocialDistanceMainFetchesViewSingleton+ SocialDistanceMainSetsModelSingleton+ SocialDistanceUtilityProvided SocialDistanceViewISAPropertyListener+ ViewFactoryTest ,DerivedAndInferredPrintCallSharedProcedure DerivedPrintIsNotDirect InferredPrintIsNotDirect ModelReuse WekaFileSizeTest ,0,4,true,BasicModelRegistersObserver DerivingModelRegistersObserver InferringModelRegistersObserver InterpolatingModelRegistersObserver SocialDistanceControllerFetchesModelSingleton SocialDistanceControllerWritesModel SocialDistanceMainCallsControllerMethod SocialDistanceMainFetchesViewSingleton SocialDistanceMainSetsModelSingleton SocialDistanceViewISAPropertyListener , , ,BasicModelRegistersObserver-(0.0/2.0) DerivingModelRegistersObserver-(0.0/2.0) InferringModelRegistersObserver-(0.0/2.0) InterpolatingModelRegistersObserver-(0.0/2.0) SocialDistanceControllerFetchesModelSingleton-(0.0/3.0) SocialDistanceControllerWritesModel-(0.0/2.0) SocialDistanceMainCallsControllerMethod-(0.0/3.0) SocialDistanceMainFetchesViewSingleton-(0.0/3.0) SocialDistanceMainSetsModelSingleton-(0.0/3.0) SocialDistanceViewISAPropertyListener-(0.0/2.0) , ,
