Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Tue Sep 06 12:05:24 EDT 2022,ClassRegistry.java,1662480324278,208171,0,(I)3(F)2(I)5(F)2(I)1(R)1(I)1(F)8(I)1,45.83333333333333,0.0,0.0,50.0,4.166666666666666,0.0,0.11538461538461539,0.0,0.0,0.057692307692307696,0.0,0.004807692307692308,0.052884615384615384,0.0,[]
,/modelData/A0UserStudy2010.arff,Tue Sep 06 12:05:24 EDT 2022,ClassRegistry.java, 1662480324278
2,,Tue Sep 06 12:08:53 EDT 2022,RnnF22A02Tests.java,1662480533627,110809,0,(I)1(F)4(I)1(F)6(I)5(R)1(I)5,52.17391304347826,0.0,0.0,43.47826086956522,4.3478260869565215,0.0,0.20909090909090908,0.0,0.0,0.09090909090909091,0.0,0.00909090909090909,0.10909090909090909,0.0,[]
3,,Tue Sep 06 12:10:45 EDT 2022,RnnF22A02Tests.java,1662480645679,50221,0,(I)3(F)2(I)7(F)2(D)1(F)1,62.5,6.25,0.0,31.25,0.0,0.0,0.32,0.0,0.02,0.1,0.0,0.0,0.2,0.0,[]
4,,Tue Sep 06 12:11:37 EDT 2022,RnnF22A02Tests.java,1662480697696,50838,0,(F)1(I)1(F)2(I)13(F)4(I)1,68.18181818181817,0.0,0.0,31.818181818181817,0.0,0.0,0.44,0.0,0.0,0.14,0.0,0.0,0.3,0.0,[]
5,,Tue Sep 06 12:12:29 EDT 2022,RnnF22A02Tests.java,1662480749716,25010,0,(R)1(I)3(R)1(I)5(R)1(I)4(D)1(F)1,70.58823529411765,5.88235294117647,0.0,5.88235294117647,17.647058823529413,0.0,0.68,0.0,0.04,0.04,0.0,0.12,0.48,0.0,[]
6,,Wed Dec 31 19:00:00 EST 1969,RnnF22A02Tests.java,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
7,,Tue Sep 06 12:13:07 EDT 2022,RnnF22A02Tests.java,1662480787201,3148188,0,(F)1(I)2(F)6,22.22222222222222,0.0,0.0,77.77777777777779,0.0,0.0,0.0028589580686149934,0.0,0.0,0.0022236340533672173,0.0,0.0,6.353240152477764E-4,0.0,[]
8,,Tue Sep 06 13:05:35 EDT 2022,RunF22A02Tests.java,1662483935413,53601,0,(F)2(I)1(F)2(I)4(R)1(I)2(R)1(I)4(D)1,61.111111111111114,5.555555555555555,0.0,22.22222222222222,11.11111111111111,0.0,0.33962264150943394,0.0,0.018867924528301886,0.07547169811320754,0.0,0.03773584905660377,0.20754716981132076,0.0,[]
9,,Tue Sep 06 13:06:29 EDT 2022,RunF22A02Tests.java,1662483989877,12305,0,(F)1,0.0,0.0,0.0,100.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,[]
10,,Tue Sep 06 13:06:42 EDT 2022,RunF22A02Tests.java,1662484002185,9416768,0,(F)14,0.0,0.0,0.0,100.0,0.0,0.0,0.0014868309260832626,0.0,0.0,0.0014868309260832626,0.0,0.0,0.0,0.0,[]
11,,Tue Sep 06 15:44:07 EDT 2022,ClassRegistry.java,1662493447382,38724,0,(F)1(I)1(F)2(I)1(F)2(I)8,66.66666666666666,0.0,0.0,33.33333333333333,0.0,0.0,0.39473684210526316,0.0,0.0,0.13157894736842105,0.0,0.0,0.2631578947368421,0.0,[]
12,,Tue Sep 06 15:44:47 EDT 2022,ClassRegistry.java,1662493487412,45031,0,(I)4(R)5(I)15,79.16666666666666,0.0,0.0,0.0,20.833333333333336,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.1111111111111111,0.4222222222222222,0.0,[]
13,,Tue Sep 06 15:45:33 EDT 2022,ClassRegistry.java,1662493533187,8893,8893,(R)1(I)3(R)4(I)1(R)1(I)1(R)1(I)2(R)2(I)9,64.0,0.0,0.0,0.0,36.0,0.0,3.125,0.0,0.0,0.0,0.0,1.125,2.0,0.0,[]
14,,Tue Sep 06 15:45:42 EDT 2022,ClassRegistry.java,1662493542254,16941,0,(I)8(R)4(I)13,84.0,0.0,0.0,0.0,16.0,0.0,1.5625,0.0,0.0,0.0,0.0,0.25,1.3125,0.0,[]
15,,Tue Sep 06 15:46:00 EDT 2022,ClassRegistry.java,1662493560187,39710,0,(I)25,100.0,0.0,0.0,0.0,0.0,0.0,0.6410256410256411,0.0,0.0,0.0,0.0,0.0,0.6410256410256411,0.0,[]
16,,Tue Sep 06 15:46:40 EDT 2022,RunF22A02Tests.java,1662493600601,402440,0,(F)2(I)5(F)6(I)1(R)1(I)2(D)1(F)1,42.10526315789473,5.263157894736842,0.0,47.368421052631575,5.263157894736842,0.0,0.0472636815920398,0.0,0.0024875621890547263,0.022388059701492536,0.0,0.0024875621890547263,0.01990049751243781,0.0,[]
17,,Tue Sep 06 15:53:23 EDT 2022,RunF22A02Tests.java,1662494003048,35499,0,(D)6(F)2,0.0,75.0,0.0,25.0,0.0,0.0,0.22857142857142856,0.0,0.17142857142857143,0.05714285714285714,0.0,0.0,0.0,0.0,[]
