@relation programmer-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1
@attribute distance numeric
@attribute duration numeric
@attribute exhalation numeric
@attribute safe {true,false}
@data
13,30,30,true
6,30,10,true
27,30,50,true
13,15,50,true
13,120,10,true
27,120,30,true
6,15,30,true
20,28,12,true
7,104,50,false
24,43,19,false
3,28,6,false
6,135,21,false
4,113,34,false
26,121,10,false
13,50,11,false
17,46,48,false
12,34,14,false
26,64,29,false
16,88,33,false
3,134,14,false
11,56,11,false
17,135,54,false
7,77,11,false
24,93,32,false
23,97,35,false
13,106,34,false
27,105,38,false
11,23,1,true
3,15,47,false
21,10,33,true
18,29,33,false
1,52,42,false
21,3,57,false
19,101,7,true
32,12,27,true
10,9,44,false
24,4,18,true
23,91,23,false
3,104,15,false
5,56,34,false
9,2,47,false
0,91,33,false
15,29,48,false
4,16,31,false
20,98,16,false
31,129,41,false
3,17,9,false
22,133,43,false
7,61,10,false
6,91,46,false
23,52,17,false
29,85,48,false
6,77,52,false
4,115,35,false
4,83,55,false
6,86,48,false
0,55,15,false
14,82,33,false
5,42,32,false
29,106,55,false
22,134,56,false
27,74,28,true
8,51,2,false
31,93,18,true
17,131,13,false
15,96,42,false
26,117,20,false
27,41,15,true
2,46,45,false
5,35,43,false
5,72,12,false
15,90,36,false
0,18,11,false
10,86,14,false
12,99,23,false
25,104,58,false
13,126,47,false
14,104,27,false
19,65,25,false
7,116,18,false
6,110,1,false
23,52,12,false
28,30,40,true
10,100,45,false
25,93,53,false
27,48,56,false
0,72,40,false
27,20,21,true
9,141,47,false
17,66,0,true
11,28,7,true
17,70,2,true
27,7,33,true
27,138,29,false
10,89,0,false
0,52,59,false
13,89,28,false
11,134,5,false
4,65,45,false
3,62,49,false
22,36,6,true
7,113,5,false
29,14,18,true
27,129,5,false
21,46,9,true
31,57,33,false
23,130,24,false
1,96,50,false
