Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
ass2.Models.InterpolatingModel,interpolating:model,@SocialDistanceInterpolatingModel,social:distance:interpolating:model,isSafe,is:safe,@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel,social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model,ass2.BasicSocialDistanceUtility,basic:social:distance:utility,@BasicSocialDistanceUtility,basic:social:distance:utility,isInterpolatedSafe,is:interpolated:safe
ass2.SocialDistanceController,social:distance:controller,@SocialDistanceController,social:distance:controller,processInput,process:input,@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel,social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model,java.util.Scanner,scanner,java.util.Scanner,scanner,Scanner,scanner
ass2.SocialDistanceController,social:distance:controller,@SocialDistanceController,social:distance:controller,processInput,process:input,@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel,social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
ass2.SocialDistanceController,social:distance:controller,@SocialDistanceController,social:distance:controller,processInput,process:input,@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel,social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model,ass2.SocialDistanceController,social:distance:controller,@SocialDistanceController,social:distance:controller,getNextInt,get:next:int
ass2.SocialDistanceController,social:distance:controller,@SocialDistanceController,social:distance:controller,processInput,process:input,@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel,social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model,ass2.SocialDistanceController,social:distance:controller,@SocialDistanceController,social:distance:controller,getNextInt,get:next:int
ass2.SocialDistanceController,social:distance:controller,@SocialDistanceController,social:distance:controller,processInput,process:input,@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel,social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model,ass2.SocialDistanceController,social:distance:controller,@SocialDistanceController,social:distance:controller,getNextInt,get:next:int
ass2.SocialDistanceController,social:distance:controller,@SocialDistanceController,social:distance:controller,processInput,process:input,@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel,social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model,ass2.Factory.ModelFactory,model:factory,@SocialDistanceModelFactory,social:distance:model:factory,setValues,set:values
ass2.SocialDistanceController,social:distance:controller,@SocialDistanceController,social:distance:controller,processInput,process:input,@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel,social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model,ass2.Factory.ModelFactory,model:factory,@SocialDistanceModelFactory,social:distance:model:factory,getSingleton,get:singleton
ass2.SocialDistanceController,social:distance:controller,@SocialDistanceController,social:distance:controller,processInput,process:input,@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel,social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
ass2.SocialDistanceController,social:distance:controller,@SocialDistanceController,social:distance:controller,getNextInt,get:next:int,@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel,social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
ass2.SocialDistanceController,social:distance:controller,@SocialDistanceController,social:distance:controller,getNextInt,get:next:int,@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel,social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model,java.util.Scanner,scanner,java.util.Scanner,scanner,nextInt,next:int
ass2.Weka.InferringMain,inferring:main,@SocialDistanceMVCInferringMain,social:distance:mvc:inferring:main,main,main,@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel,social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model,ass2.Factory.ModelFactory,model:factory,@SocialDistanceModelFactory,social:distance:model:factory,setSingleton,set:singleton
ass2.Weka.InferringMain,inferring:main,@SocialDistanceMVCInferringMain,social:distance:mvc:inferring:main,main,main,@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel,social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model,ass2.Weka.InferringModel,inferring:model,@SocialDistancInferringModel,social:inferring:model,InferringModel,inferring:model
ass2.Factory.ModelFactory,model:factory,@SocialDistanceModelFactory,social:distance:model:factory,getSingleton,get:singleton,@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel,social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model,ass2.Models.BasicModel,basic:model,@SocialDistanceBasicModel,social:distance:basic:model,BasicModel,basic:model
ass2.Models.DerivingModel,deriving:model,@SocialDistancDerivingModel,social:deriving:model,isSafe,is:safe,@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel:@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel,social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model:social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model,ass2.BasicSocialDistanceUtility,basic:social:distance:utility,@BasicSocialDistanceUtility,basic:social:distance:utility,isDerivedSafe,is:derived:safe
ass2.RunF22A02Tests,run:a:tests,RunF22A02Tests,run:a:tests,main,main,@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel:@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel,social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model:social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setTracerShowInfo,set:tracer:show:info
ass2.RunF22A02Tests,run:a:tests,RunF22A02Tests,run:a:tests,main,main,@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel:@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel,social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model:social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setBufferTracedMessages,set:buffer:traced:messages
ass2.RunF22A02Tests,run:a:tests,RunF22A02Tests,run:a:tests,main,main,@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel:@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel,social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model:social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setMaxPrintedTraces,set:max:printed:traces
ass2.RunF22A02Tests,run:a:tests,RunF22A02Tests,run:a:tests,main,main,@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel:@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel,social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model:social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setMaxTraces,set:max:traces
ass2.RunF22A02Tests,run:a:tests,RunF22A02Tests,run:a:tests,main,main,@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel:@SocialDistancDerivingModel+@SocialDistancInferringModel+@SocialDistanceBasicModel+@SocialDistanceInterpolatingModel,social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model:social:deriving:model:social:inferring:model:social:distance:basic:model:social:distance:interpolating:model,grader.basics.execution.BasicProjectExecution,basic:project:execution,grader.basics.execution.BasicProjectExecution,basic:project:execution,setProcessTimeOut,set:process:time:out
